INDEX,FLOOR_NUM,STAR_1,FIGHT_POINT_STAR,FIGHT_POINT_1,STAR_2,FIGHT_POINT_2,STAR_3,FIGHT_POINT_3,STAR_REWARD_3,STAR_REWARD_6,STAR_REWARD_9,BASE_EQUIP_TOKEN,BASE_MONEY,LOST_GROUPID_VIP0,PRICE_VIP0,BASE_PRICE_VIP0,LOST_GROUPID_VIP1,PRICE_VIP1,BASE_PRICE_VIP1,LOST_GROUPID_VIP2,PRICE_VIP2,BASE_PRICE_VIP2,LOST_GROUPID_VIP3,PRICE_VIP3,BASE_PRICE_VIP3,LOST_GROUPID_VIP4,PRICE_VIP4,BASE_PRICE_VIP4,LOST_GROUPID_VIP5,PRICE_VIP5,BASE_PRICE_VIP5,LOST_GROUPID_VIP6,PRICE_VIP6,BASE_PRICE_VIP6,LOST_GROUPID_VIP7,PRICE_VIP7,BASE_PRICE_VIP7,LOST_GROUPID_VIP8,PRICE_VIP8,BASE_PRICE_VIP8,LOST_GROUPID_VIP9,PRICE_VIP9,BASE_PRICE_VIP9,LOST_GROUPID_VIP10,PRICE_VIP10,BASE_PRICE_VIP10,LOST_GROUPID_VIP11,PRICE_VIP11,BASE_PRICE_VIP11,LOST_GROUPID_VIP12,PRICE_VIP12,BASE_PRICE_VIP12
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,1,25011,2198,1046,25012,2198,25013,2198,0,0,0,40|50|60,800|1000|1200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200,92801|92802,128|128,200|200
2,1,25021,2962,2671,25022,2671,25023,2962,0,0,0,40|50|60,800|1000|1200,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201,92801|92802,128|129,200|201
3,1,25031,4580,2973,25032,2984,25033,4580,92101,92201,92301,40|50|60,800|1000|1200,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202,92801|92802,128|130,200|202
4,2,25041,7051,5130,25042,5793,25043,7051,0,0,0,40|50|60,800|1000|1200,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203,92801|92802,128|131,200|203
5,2,25051,16105,7173,25052,10178,25053,16105,0,0,0,40|50|60,800|1000|1200,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204,92801|92802,128|132,200|204
6,2,25061,30588,25089,25062,24898,25063,30588,92102,92202,92302,40|50|60,800|1000|1200,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205,92801|92802,128|133,200|205
7,3,25071,34015,30780,25072,31048,25073,34015,0,0,0,40|50|60,800|1000|1200,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206,92801|92802,128|134,200|206
8,3,25081,42914,36981,25082,39948,25083,42914,0,0,0,40|50|60,800|1000|1200,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207,92801|92802,128|135,200|207
9,3,25091,49114,45882,25092,45088,25093,49114,92103,92203,92303,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
10,4,25101,61196,53140,25102,57166,25103,61196,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
11,4,25111,67587,55213,25112,62640,25113,67587,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
12,4,25121,87753,74667,25122,81753,25123,87753,92104,92204,92304,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
13,5,25131,105753,93753,25132,99753,25133,105753,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
14,5,25141,123753,111753,25142,117753,25143,123753,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
15,5,25151,123753,129753,25152,135753,25153,123753,92105,92205,92305,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
16,6,25161,123753,129753,25162,135753,25163,123753,0,0,0,40|50|60,800|1000|1200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200,92803,188,200
17,6,25171,123753,129753,25172,135753,25173,123753,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
18,6,25181,123753,129753,25182,135753,25183,123753,92106,92206,92306,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
19,7,25191,123753,129753,25192,135753,25193,123753,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
20,7,25201,126800,116500,25202,119700,25203,126800,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
21,7,25211,148700,126800,25212,138700,25213,148700,92107,92207,92307,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
22,8,25221,160100,148700,25222,152900,25223,160100,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
23,8,25231,193300,160100,25232,179100,25233,193300,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
24,8,25241,201300,193300,25242,195800,25243,201300,92108,92208,92308,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
25,9,25251,218100,201300,25252,205400,25253,218100,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
26,9,25261,225700,218100,25262,220400,25263,225700,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
27,9,25271,242300,225700,25272,227900,25273,242300,92109,92209,92309,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
28,10,25281,270000,242300,25282,264500,25283,270000,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
29,10,25291,283600,270000,25292,272500,25293,283600,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
30,10,25301,295800,283600,25302,287900,25303,295800,92110,92210,92310,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
31,11,25311,345400,295800,25312,304000,25313,345400,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
32,11,25321,357400,345400,25322,348700,25323,357400,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
33,11,25331,414200,357400,25332,398800,25333,414200,92111,92211,92311,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
34,12,25341,426800,414200,25342,417800,25343,426800,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
35,12,25351,450700,426800,25352,432400,25353,450700,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
36,12,25361,463400,450700,25362,456300,25363,463400,92112,92212,92312,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
37,13,25371,485000,463400,25372,467000,25373,485000,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
38,13,25381,534500,485000,25382,527200,25383,534500,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
39,13,25391,559500,534500,25392,538400,25393,559500,92113,92213,92313,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
40,14,25401,573600,559500,25402,565500,25403,573600,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
41,14,25411,597000,573600,25412,579600,25413,597000,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
42,14,25421,689000,597000,25422,678400,25423,689000,92114,92214,92314,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
43,15,25431,799300,689000,25432,773200,25433,799300,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
44,15,25441,815400,799300,25442,804400,25443,815400,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
45,15,25451,848400,815400,25452,822700,25453,848400,92115,92215,92315,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
46,16,25461,864600,848400,25462,855900,25463,864600,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
47,16,25471,898800,864600,25472,869800,25473,898800,0,0,0,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
48,16,25481,990500,898800,25482,931400,25483,990500,92116,92216,92316,40|50|60,800|1000|1200,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800,92804|92805,800|698,1000|800
49,17,25491,1022500,990500,25492,995700,25493,1022500,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
50,17,25501,1042500,1022500,25502,1030100,25503,1042500,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
51,17,25511,1080500,1042500,25512,1052600,25513,1080500,92117,92217,92317,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
52,18,25521,1102000,1080500,25522,1090700,25523,1102000,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
53,18,25531,1282600,1102000,25532,1144600,25533,1282600,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
54,18,25541,1302400,1282600,25542,1293100,25543,1302400,98852,98853,98854,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
55,19,25551,1325700,1302400,25552,1315300,25553,1325700,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
56,19,25561,1407600,1325700,25562,1366100,25563,1407600,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
57,19,25571,1494600,1407600,25572,1450400,25573,1494600,98855,98856,98857,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
58,20,25581,1586900,1494600,25582,1540000,25583,1586900,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
59,20,25591,1684900,1586900,25592,1635200,25593,1684900,0,0,0,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
60,20,25601,1789000,1684900,25602,1736200,25603,1789000,98858,98859,98860,40|50|60,800|1000|1200,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000,92804,800,1000
